Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,27,318,-0.637233825,Cameron Payne,,OKC,G,57,12.23918129,4.964912281,0.631578947,1.49122807,1.894736842,0.631578947,0.105263158,0.410071942,4.877192982,0.791666667,0.421052632,0.771929825,-1.804218004,-0.5089996,-1.74403558,-0.525272283,-0.926066431,-1.007689504,-0.505146538,0.02600053,1.260322981
,27,324,-0.650971661,Rakeem Christmas,,IND,F,1,6.1,4,0,1,0,0,0,1,2,0,0,0,-1.992480594,-1.201278123,-1.948621139,-1.391679668,-2.387059491,-1.188909075,2.035940773,0.008812111,2.206530258
,28,327,-0.658601924,Justin Anderson,,DAL,G,55,11.76181818,3.781818182,0.4,2.418181818,0.527272727,0.345454545,0.454545455,0.403409091,3.2,0.8,1,0.436363636,-2.035049721,-0.762835058,-1.357979973,-1.150573371,-1.587940559,-0.406370017,-0.368588817,0.070270751,1.67164945
,28,328,-0.660010516,Tyus Jones,,MIN,G,37,15.47927928,4.216216216,0.432432432,1.27027027,2.918918919,0.837837838,0.081081081,0.358974359,4.216216216,0.717948718,1.054054054,0.891891892,-1.950294971,-0.727285621,-1.836059586,-0.056943967,-0.448940319,-1.049321027,-0.84394952,-0.140576889,1.113277256
,29,339,-0.684125545,Jerian Grant,,NYK,G,76,16.71557018,5.605263158,0.289473684,1.881578947,2.328947368,0.657894737,0.131578947,0.393861893,5.144736842,0.780487805,1.618421053,1.144736842,-1.679280103,-0.8839838,-1.581463127,-0.32672059,-0.86519172,-0.962384611,-0.691531768,0.030077937,0.803347876
,30,352,-0.702425788,Duje Dukan,,SAC,F,1,24.23333333,6,2,4,1,1,0,0.2,10,0,0,0,-1.602263589,0.9909372,-0.699187903,-0.934409104,-0.073820479,-1.188909075,-5.029521508,0.008812111,2.206530258
,30,356,-0.712121906,Jarell Martin,Out for season - left ankle (0g),MEM,F,27,14.05740741,5.666666667,0,3.185185185,0.555555556,0.296296296,0.259259259,0.465517241,4.296296296,0.725806452,2.296296296,0.703703704,-1.667299756,-1.201278123,-1.03854014,-1.137640466,-1.701655339,-0.742571983,0.007891415,-0.271955176,1.343952412
,31,368,-0.736353794,Anthony Brown,,LAL,F,29,20.64367816,3.965517241,0.689655172,2.413793103,0.655172414,0.482758621,0.172413793,0.30952381,4.344827586,0.85,0.689655172,0.517241379,-1.999208473,-0.445341805,-1.359807775,-1.092088609,-1.270323416,-0.892083915,-1.27743054,0.136588328,1.572512059
,32,373,-0.759103195,Montrezl Harrell,,HOU,F,39,9.709401709,3.58974359,0,1.692307692,0.435897436,0.282051282,0.282051282,0.644444444,2.307692308,0.52173913,1.179487179,0.435897436,-2.072525107,-1.201278123,-1.660290392,-1.192356602,-1.734607462,-0.703333557,0.791686456,-0.731444873,1.672220904
,33,389,-0.790391315,Delon Wright,,TOR,G,27,8.491975309,3.814814815,0.185185185,1.37037037,1.148148148,0.296296296,0.111111111,0.444444444,3,0.742857143,1.296296296,0.592592593,-2.028611798,-0.998295223,-1.794370122,-0.866665316,-1.701655339,-0.99762175,-0.11149951,-0.094951688,1.480148914
,33,392,-0.792967755,R.J. Hunter,,BOS,G,36,8.738425926,2.694444444,0.527777778,1.027777778,0.361111111,0.388888889,0.111111111,0.367346939,2.722222222,0.857142857,0.194444444,0.305555556,-2.247205583,-0.622776857,-1.937052313,-1.226554187,-1.487466542,-0.99762175,-0.498299708,0.048277263,1.831989878
,33,393,-0.796126916,Kelly Oubre Jr.,,WAS,F,63,10.65634921,3.746031746,0.396825397,2.111111111,0.206349206,0.333333333,0.111111111,0.426540284,3.349206349,0.632653061,0.777777778,0.53968254,-2.042031959,-0.766314765,-1.485868089,-1.29732225,-1.61597982,-0.99762175,-0.239304332,-0.265703667,1.545004391
,34,399,-0.807553658,Rashad Vaughn,Note - waived by magic,MIL,G,70,14.29571429,3.142857143,0.628571429,1.257142857,0.542857143,0.414285714,0.228571429,0.308270677,3.8,0.8,0.214285714,0.4,-2.159716453,-0.512296164,-1.841526862,-1.143447076,-1.428717614,-0.79540372,-1.125079702,0.02198182,1.716222851
,35,411,-0.841207372,Darrun Hilliard,,DET,F,38,10.07938596,4,0.5,1.184210526,0.684210526,0.236842105,0.026315789,0.393939394,3.473684211,0.725,1.052631579,0.5,-1.992480594,-0.653224292,-1.871901554,-1.078810335,-1.839187093,-1.143604182,-0.463309382,-0.121994912,1.593645999
,35,414,-0.849243545,Kevon Looney,,GSW,F,5,4.12,1.8,0.2,2,0,0,0,0.571428571,1.4,0,0,0.2,-2.421719299,-0.982056591,-1.532143394,-1.391679668,-2.387059491,-1.188909075,0.290186948,0.008812111,1.961376555
,35,417,-0.860679634,Joe Young,,IND,G,41,9.34796748,3.756097561,0.243902439,1.219512195,1.585365854,0.365853659,0,0.364705882,4.146341463,0.8,0.609756098,0.804878049,-2.040068033,-0.933934791,-1.857199195,-0.666738529,-1.540752535,-1.188909075,-0.78473752,0.046286891,1.219936085
,36,431,-0.893791242,Jordan Mickey,,BOS,C,16,3.573958333,1.3125,0,0.8125,0.0625,0,0.6875,0.363636364,1.375,0.5,0.625,0.0625,-2.516834694,-1.201278123,-2.026710716,-1.363100258,-2.387059491,-0.00531875,-0.256649357,-0.417089518,2.129919726
,37,437,-0.90801756,Sam Dekker,,HOU,F,3,2.05,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,-2.772914603,-1.201278123,-2.226272969,-1.391679668,-1.61597982,-1.188909075,0.009533849,0.008812111,2.206530258
,37,443,-0.929551067,Branden Dawson,,LAC,F,6,4.811111111,0.833333333,0,0.666666667,0,0,0.166666667,0.4,0.833333333,1,0.166666667,0,-2.610324185,-1.201278123,-2.087447054,-1.391679668,-2.387059491,-0.901978087,-0.094323056,0.1015998,2.206530258
,38,452,-0.957592832,Terry Rozier,,BOS,G,39,7.982905983,1.846153846,0.153846154,1.615384615,0.948717949,0.153846154,0.025641026,0.273584906,2.717948718,0.8,0.256410256,0.487179487,-2.412714291,-1.032646175,-1.692327142,-0.957858876,-2.031176566,-1.144765846,-0.980778306,0.024570737,1.60936098
,39,457,-0.98393559,Aaron Harrison,,CHA,G,22,4.415909091,0.818181818,0.136363636,0.681818182,0.090909091,0.272727273,0,0.263157895,0.863636364,0.416666667,0.545454545,0.181818182,-2.613280374,-1.051808896,-2.081136785,-1.350109617,-1.756176124,-1.188909075,-0.322218046,-0.475444651,1.983663255
,39,458,-0.986458291,Pat Connaughton,,POR,G,34,4.220098039,1.058823529,0.147058824,0.941176471,0.294117647,0.058823529,0,0.265306122,1.441176471,1,0.147058824,0.294117647,-2.56632913,-1.04008582,-1.97311983,-1.257188326,-2.250986608,-1.188909075,-0.538199541,0.090683602,1.846010106
