Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,5,57,0.046202395,Andre Iguodala,,PHI,F,82,32.74390244,9.036585366,0.573170732,5.658536585,3,1.682926829,0.585365854,0.492673993,6.658536585,0.742857143,2.56097561,1.695121951,-1.00914897,-0.337926053,-0.006979479,-0.082851373,1.43001983,-0.168770882,0.509279664,-0.208973232,0.291172047
,7,73,-0.007086774,Dwight Howard,,ORL,C,82,32.5,11.91463415,0,10.01219512,0.914634146,0.93902439,1.646341463,0.518518519,8.231707317,0.670702179,5.036585366,2.012195122,-0.477378563,-1.043345467,1.725939611,-1.079274609,-0.208558302,1.346602411,1.057495836,-1.251404473,-0.133857409
,8,85,-0.082387172,Emeka Okafor,,CHA,F,73,35.61643836,15.1369863,0,10.89041096,0.876712329,0.849315068,1.712328767,0.44666002,13.73972603,0.609329446,4.698630137,1.712328767,0.118007981,-1.043345467,2.075502392,-1.097394298,-0.406159123,1.440850947,-0.251444299,-1.845609382,0.268106697
,9,102,-0.156927245,Josh Childress,,ATL,F,80,29.55,10.0875,0.1625,6.025,1.8875,0.925,0.4375,0.470404984,8.025,0.822510823,2.8875,1.325,-0.814973908,-0.843351559,0.13888668,-0.614422775,-0.239449529,-0.379965148,0.247327016,0.306291817,0.787312201
,10,109,-0.185544805,Josh Smith,Note - released by pelicans,ATL,F,74,27.60810811,9.662162162,0.054054054,6.175675676,1.716216216,0.797297297,1.945945946,0.455149502,8.135135135,0.687763713,3.202702703,1.824324324,-0.893562595,-0.976819427,0.19886124,-0.696265077,-0.520737565,1.774522362,-0.001530673,-0.672350681,0.117979171
,15,170,-0.354938245,Luol Deng,Questionable - ankle,CHI,F,61,27.24590164,11.6557377,0.508196721,5.278688525,2.213114754,0.786885246,0.442622951,0.434108527,10.57377049,0.740740741,2.655737705,1.93442623,-0.525214259,-0.41789163,-0.158173228,-0.458838513,-0.54367197,-0.372648125,-0.458991496,-0.22940503,-0.029609958
,15,175,-0.373737016,Ben Gordon,,CHI,G,82,24.53658537,15.03658537,1.634146341,2.597560976,1.987804878,0.646341463,0.12195122,0.411206078,12.84146341,0.862962963,3.292682927,2.256097561,0.099457133,0.967850308,-1.225362368,-0.5664954,-0.85324478,-0.830658067,-1.158376105,0.663999283,-0.460803145
,15,177,-0.381326009,Chris Duhon,,CHI,G,82,26.23170732,5.914634146,1.146341463,2.585365854,4.829268293,1,0.024390244,0.352459016,5.951219512,0.723076923,0.792682927,1.451219512,-1.585984666,0.36749336,-1.230216483,0.791204096,-0.074248619,-0.970002738,-1.23743425,-0.110862561,0.618117783
,16,184,-0.397339469,Jameer Nelson,,ORL,G,79,20.36708861,8.721518987,0.556962025,2.443037975,3,0.987341772,0.037974684,0.455414013,7.949367089,0.682242991,1.35443038,1.481012658,-1.067363055,-0.357874623,-1.286868308,-0.082851373,-0.102130629,-0.950600315,0.003171815,-0.309719477,0.57818074
,17,199,-0.444943628,Tony Allen,Note - waived,BOS,G,77,16.23376623,6.38961039,0.155844156,2.87012987,0.831168831,0.987012987,0.311688312,0.475452196,5.025974026,0.736842105,1.974025974,1,-1.498224406,-0.851543117,-1.116869744,-1.119155755,-0.102854837,-0.559659828,0.21291875,-0.192071109,1.222967394
,17,200,-0.450078302,Anderson Varejao,,CLE,C,54,16.03703704,4.925925926,0,4.759259259,0.5,0.759259259,0.703703704,0.512953368,3.574074074,0.535433071,2.351851852,0.481481481,-1.768665994,-1.043345467,-0.364925522,-1.277393849,-0.604523145,0.000249043,0.428612548,-1.338742146,1.91802981
,17,202,-0.452184774,Devin Harris,,DAL,G,76,15.40789474,5.697368421,0.565789474,1.342105263,2.210526316,1.013157895,0.25,0.42739726,4.802631579,0.757281553,1.355263158,1.078947368,-1.626128351,-0.347010402,-1.725080744,-0.460075313,-0.045266003,-0.647768187,-0.264419777,-0.071054407,1.117140222
,18,215,-0.477711,Damien Wilkins,,SEA,F,29,17.89655172,6.310344828,0.551724138,2.275862069,0.896551724,0.75862069,0.344827586,0.43452381,5.793103448,0.617647059,1.172413793,0.551724138,-1.51287012,-0.364321057,-1.353410577,-1.087914698,-0.605929709,-0.51232757,-0.238709973,-0.447786405,1.823871108
,19,220,-0.490198499,Al Jefferson,,BOS,C,71,14.78873239,6.690140845,0,4.394366197,0.338028169,0.309859155,0.774647887,0.528455285,5.197183099,0.62962963,1.901408451,0.929577465,-1.44269609,-1.043345467,-0.510166621,-1.354786742,-1.594407228,0.101577405,0.778951311,-0.66428028,1.317367219
