Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,8,96,-0.130361547,Michael Carter-Williams,Out for season - left shoulder surgery (0g),PHI,G,70,34.48452381,16.67142857,0.785714286,6.242857143,6.3,1.857142857,0.614285714,0.40512334,15.05714286,0.702997275,5.242857143,3.528571429,0.453733687,-0.33525868,0.248398286,1.480775129,1.928624264,-0.040887938,-1.632814347,-1.094041005,-2.181783314
,11,131,-0.230132761,Victor Oladipo,,ORL,G,80,31.08145833,13.825,0.925,4.1125,4.0875,1.6125,0.4625,0.418803419,11.7,0.779874214,3.975,3.2,-0.138539111,-0.171002324,-0.556985051,0.458413802,1.367253013,-0.315018461,-0.98923461,0.022964849,-1.749046958
,14,157,-0.305620092,Ryan Kelly,,LAL,F,59,22.23502825,8,0.813559322,3.711864407,1.610169492,0.542372881,0.762711864,0.423180593,6.288135593,0.814814815,2.288135593,0.796610169,-1.350580431,-0.302421686,-0.70844568,-0.686321523,-1.088320822,0.22717509,-0.490049693,0.232109527,1.416274393
,14,165,-0.322480824,Trey Burke,,UTA,G,70,32.32071429,12.78571429,1.585714286,2.971428571,5.657142857,0.6,0.085714286,0.380156076,12.81428571,0.902654867,1.614285714,1.871428571,-0.354789279,0.608162444,-0.98836808,1.18372099,-0.956086397,-0.995507171,-1.957394047,0.557221034,0.000713092
,16,190,-0.376434385,Mason Plumlee,,BKN,C,70,18.21071429,7.428571429,0,4.4,0.857142857,0.7,0.785714286,0.658940397,4.314285714,0.625641026,2.785714286,1.1,-1.469480867,-1.261832998,-0.448295431,-1.034283245,-0.726620776,0.2687183,1.456914883,-1.189732126,1.016702798
,17,196,-0.401825934,Tim Hardaway Jr.,Questionable - ankle,NYK,F,81,23.15390947,10.17283951,1.604938272,1.49382716,0.814814815,0.543209877,0.086419753,0.427947598,8.481481481,0.828125,1.580246914,0.580246914,-0.898465192,0.630832837,-1.546976555,-1.053842365,-1.086400206,-0.994233071,-0.584205754,0.215626968,1.701229927
,17,202,-0.408081427,Kelly Olynyk,,BOS,C,70,19.99952381,8.671428571,0.571428571,5.214285714,1.557142857,0.5,0.385714286,0.466135458,7.171428571,0.81147541,1.742857143,1.514285714,-1.210872418,-0.587960767,-0.140454021,-0.710824294,-1.185552017,-0.453696255,-0.012235181,0.157783415,0.471078696
,20,231,-0.478524741,Giannis Antetokounmpo,,MIL,F,77,24.63398268,6.818181818,0.532467532,4.402597403,1.948051948,0.779220779,0.792207792,0.413875598,5.428571429,0.683168317,2.623376623,1.584415584,-1.596488151,-0.633906601,-0.447313481,-0.530191373,-0.544836323,0.280445809,-0.514430314,-0.698718229,0.378715996
,20,238,-0.498076737,Kentavious Caldwell-Pope,Questionable - ac joint sprain,DET,G,80,19.78166667,5.875,0.7375,1.95,0.6875,0.9375,0.15,0.395652174,5.75,0.770491803,0.7625,0.35,-1.792741427,-0.39211665,-1.374520023,-1.112672531,-0.181639927,-0.879404832,-0.729208994,-0.024856816,2.004470568
,21,244,-0.510961428,Gorgui Dieng,,MIN,C,60,13.63,4.766666667,0.016666667,5,0.65,0.5,0.833333333,0.497797357,3.783333333,0.634408602,1.55,0.9,-2.023358732,-1.242178392,-0.221464918,-1.130000689,-1.185552017,0.354720033,0.198093681,-0.629019354,1.280107536
