Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,30,353,-0.76898626,Travis Hansen,,ATL,G,41,12.36585366,3,0.219512195,1.707317073,0.463414634,0.243902439,0.219512195,0.353846154,3.170731707,0.814814815,0.658536585,0.365853659,-2.189149176,-0.809663052,-1.533754115,-1.370156094,-1.994746068,-0.660084893,-0.581794662,0.096349033,2.122122691
,31,366,-0.793081858,Zaza Pachulia,,ORL,C,59,11.25423729,3.322033898,0,2.966101695,0.220338983,0.355932203,0.203389831,0.392045455,2.983050847,0.644444444,1.525423729,0.576271186,-2.124263875,-1.104357476,-1.045257777,-1.496816474,-1.725899201,-0.682582854,-0.308323178,-0.491393682,1.841157799
,31,369,-0.803910393,Keith Mcleod,,MIN,G,33,11.60606061,2.666666667,0.03030303,1.03030303,1.787878788,0.484848485,0.03030303,0.333333333,2.454545455,0.76744186,1.303030303,0.878787879,-2.256311154,-1.063675755,-1.796482842,-0.680012379,-1.416528395,-0.924116905,-0.549091526,0.01381006,1.437215358
,31,370,-0.804481629,Brandon Hunter,,BOS,F,36,11.16666667,3.472222222,0,3.277777778,0.527777778,0.361111111,0.027777778,0.456896552,3.222222222,0.441860465,1.194444444,0.611111111,-2.09400304,-1.104357476,-0.924305691,-1.336618139,-1.713470958,-0.92764077,0.100128171,-1.034703741,1.79463698
,32,377,-0.825660925,Zoran Planinic,,BKN,G,49,9.653061224,3.12244898,0.183673469,1.102040816,1.387755102,0.265306122,0.06122449,0.417322835,2.591836735,0.633333333,1.224489796,0.734693878,-2.164477429,-0.857776428,-1.768643571,-0.888506392,-1.943381922,-0.880967541,-0.127794955,-0.42902031,1.62962022
,32,383,-0.845391165,Zarko Cabarkapa,,PHO,F,49,11.65306122,4.142857143,0.12244898,2.020408163,0.816326531,0.204081633,0.265306122,0.411167513,4.020408163,0.660377358,1.081632653,1.102040816,-1.958879536,-0.939970111,-1.412252908,-1.186262912,-2.090307271,-0.596181737,-0.264902925,-0.298874774,1.139111686
,33,390,-0.868764566,Kendrick Perkins,,BOS,C,10,3.6,2.2,0,1.4,0.3,0,0.2,0.533333333,1.5,0.666666667,0.9,0.5,-2.350337924,-1.104357476,-1.653014601,-1.455307197,-2.580058436,-0.687313194,0.3001438,-0.231636741,1.943000672
,33,395,-0.889600675,Reece Gaines,,ORL,G,38,9.473684211,1.815789474,0.078947368,1.026315789,1.052631579,0.289473684,0.052631579,0.290697674,2.263157895,0.64,0.657894737,0.473684211,-2.427750941,-0.998370885,-1.79803017,-1.063130517,-1.885385073,-0.892958522,-0.705175492,-0.213743918,1.978139442
,34,398,-0.900589308,James Jones,,IND,F,6,4.333333333,1.166666667,0.166666667,0.333333333,0,0.166666667,0,0.222222222,1.5,1,0.333333333,0,-2.558540057,-0.880608006,-2.066955756,-1.61162937,-2.180094985,-0.966403282,-0.672138118,0.22042851,2.610637288
,34,406,-0.911727174,Darko Milicic,,DET,C,34,4.676470588,1.411764706,0,1.264705882,0.205882353,0.205882353,0.441176471,0.261538462,1.911764706,0.583333333,0.705882353,0.382352941,-2.509156249,-1.104357476,-1.705518166,-1.504349447,-2.085985937,-0.350763382,-0.707572256,-0.337933294,2.100091641
,35,410,-0.933450983,Travis Outlaw,,POR,F,8,2.375,1,0,0.5,0.125,0.125,0,0.428571429,0.875,0.5,0.5,0.125,-2.592121046,-1.104357476,-2.002277451,-1.546495131,-2.280085848,-0.966403282,-0.004477183,-0.348569569,2.443728134
,35,418,-0.948817973,Matt Carroll,,SAS,G,16,4.375,1.1875,0.0625,0.375,0.125,0.0625,0,0.4375,1,0.666666667,0.375,0.375,-2.554342433,-1.020451425,-2.05078618,-1.546495131,-2.430072142,-0.966403282,0.009569136,-0.090290125,2.109909826
,35,419,-0.950450503,Ndudi Ebi,,MIN,F,17,1.882352941,0.764705882,0,0.176470588,0.176470588,0,0.235294118,0.428571429,0.823529412,0.25,0.235294118,0.176470588,-2.639529501,-1.104357476,-2.127829455,-1.51967515,-2.580058436,-0.638062002,-0.002601177,-0.316942159,2.375000835
,35,420,-0.951140531,Dahntay Jones,,MEM,G,20,7.65,1.8,0.05,1.15,0.6,0.25,0.3,0.283018868,2.65,0.454545455,0.55,0.6,-2.430932298,-1.037232635,-1.750032059,-1.298985024,-1.980113259,-0.54776815,-0.872793355,-0.451881346,1.809473349
,36,421,-0.951159178,Jerome Beasley,,MIA,F,2,2.5,1,0,0.5,0,0,0,0.333333333,1.5,0,0,0,-2.592121046,-1.104357476,-2.002277451,-1.61162937,-2.580058436,-0.966403282,-0.324894576,0.010671743,2.610637288
,37,437,-1.059222672,Slavko Vranes,,POR,C,1,3,0,0,0,0,0,0,0,1,0,0,0,-2.793606981,-1.104357476,-2.196312367,-1.61162937,-2.580058436,-0.966403282,-0.901945162,0.010671743,2.610637288
,37,438,-1.071993106,Troy Bell,,MEM,G,6,5.833333333,1.833333333,0,0.666666667,0.666666667,0.166666667,0,0.222222222,3,1,0.5,1,-2.4242161,-1.104357476,-1.937599145,-1.264246763,-2.180094985,-0.966403282,-1.371691154,0.325306893,1.275364057
