DATE,DJIA
2/19/2014,16040.56
2/20/2014,16133.23
2/21/2014,16103.3
2/24/2014,16207.14
2/25/2014,16179.66
2/26/2014,16198.41
2/27/2014,16272.65
2/28/2014,16321.71
3/3/2014,16168.03
3/4/2014,16395.88
3/5/2014,16360.18
3/6/2014,16421.89
3/7/2014,16452.72
3/10/2014,16418.68
3/11/2014,16351.25
3/12/2014,16340.08
3/13/2014,16108.89
3/14/2014,16065.67
3/17/2014,16247.22
3/18/2014,16336.19
3/19/2014,16222.17
3/20/2014,16331.05
3/21/2014,16302.77
3/24/2014,16276.69
3/25/2014,16367.88
3/26/2014,16268.99
3/27/2014,16264.23
3/28/2014,16323.06
3/31/2014,16457.66
4/1/2014,16532.61
4/2/2014,16573
4/3/2014,16572.55
4/4/2014,16412.71
4/7/2014,16245.87
4/8/2014,16256.14
4/9/2014,16437.18
4/10/2014,16170.22
4/11/2014,16026.75
4/14/2014,16173.24
4/15/2014,16262.56
4/16/2014,16424.85
4/17/2014,16408.54
4/18/2014,.
4/21/2014,16449.25
4/22/2014,16514.37
4/23/2014,16501.65
4/24/2014,16501.65
4/25/2014,16361.46
4/28/2014,16448.74
4/29/2014,16535.37
4/30/2014,16580.84
5/1/2014,16558.87
5/2/2014,16512.89
5/5/2014,16530.55
5/6/2014,16401.02
5/7/2014,16518.54
5/8/2014,16550.97
5/9/2014,16583.34
5/12/2014,16695.47
5/13/2014,16715.44
5/14/2014,16613.97
5/15/2014,16446.81
5/16/2014,16491.31
5/19/2014,16511.86
5/20/2014,16374.31
5/21/2014,16533.06
5/22/2014,16543.08
5/23/2014,16606.27
5/26/2014,.
5/27/2014,16675.5
5/28/2014,16633.18
5/29/2014,16698.74
5/30/2014,16717.17
6/2/2014,16743.63
6/3/2014,16722.34
6/4/2014,16737.53
6/5/2014,16836.11
6/6/2014,16924.28
6/9/2014,16943.1
6/10/2014,16945.92
6/11/2014,16843.88
6/12/2014,16734.19
6/13/2014,16775.74
6/16/2014,16781.01
6/17/2014,16808.49
6/18/2014,16906.62
6/19/2014,16921.46
6/20/2014,16947.08
6/23/2014,16937.26
6/24/2014,16818.13
6/25/2014,16867.51
6/26/2014,16846.13
6/27/2014,16851.84
6/30/2014,16826.6
7/1/2014,16956.07
7/2/2014,16976.24
7/3/2014,17068.26
7/4/2014,.
7/7/2014,17024.21
7/8/2014,16906.62
7/9/2014,16985.61
7/10/2014,16915.07
7/11/2014,16943.81
7/14/2014,17055.42
7/15/2014,17060.68
7/16/2014,17138.2
7/17/2014,16976.81
7/18/2014,17100.18
7/21/2014,17051.73
7/22/2014,17113.54
7/23/2014,17086.63
7/24/2014,17083.8
7/25/2014,16960.57
7/28/2014,16982.59
7/29/2014,16912.11
7/30/2014,16880.36
7/31/2014,16563.3
8/1/2014,16493.37
8/4/2014,16569.28
8/5/2014,16429.47
8/6/2014,16443.34
8/7/2014,16368.27
8/8/2014,16553.93
8/11/2014,16569.98
8/12/2014,16560.54
8/13/2014,16651.8
8/14/2014,16713.58
8/15/2014,16662.91
8/18/2014,16838.74
8/19/2014,16919.59
8/20/2014,16979.13
8/21/2014,17039.49
8/22/2014,17001.22
8/25/2014,17076.87
8/26/2014,17106.7
8/27/2014,17122.01
8/28/2014,17079.57
8/29/2014,17098.45
9/1/2014,.
9/2/2014,17067.56
9/3/2014,17078.28
9/4/2014,17069.58
9/5/2014,17137.36
9/8/2014,17111.42
9/9/2014,17013.87
9/10/2014,17068.71
9/11/2014,17049
9/12/2014,16987.51
9/15/2014,17031.14
9/16/2014,17131.97
9/17/2014,17156.85
