Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,3,25,0.252044124,Anthony Davis,,NOR,F,64,28.84296875,13.515625,0,8.15625,0.984375,1.171875,1.75,0.514792899,10.5625,0.751111111,3.515625,1.390625,-0.083622301,-1.13778819,1.085297628,-1.03392494,0.282827229,1.864110301,1.044850373,-0.414646988,0.661294006
,5,51,0.06011608,Damian Lillard,,POR,G,82,38.6203252,19.07317073,2.256097561,3.134146341,6.475609756,0.902439024,0.231707317,0.429790535,15.7195122,0.84423676,3.914634146,2.963414634,1.187142553,1.524086328,-0.852746412,1.434663933,-0.346337229,-0.739510182,-1.063404793,0.864999329,-1.467848808
,11,121,-0.188704166,Bradley Beal,,WAS,G,56,31.15297619,13.92857143,1.625,3.767857143,2.464285714,0.892857143,0.517857143,0.410480349,12.26785714,0.786163522,2.839285714,1.607142857,0.010800279,0.779480889,-0.608195617,-0.368629923,-0.368712041,-0.248810625,-1.291413847,0.028957525,0.368185869
,13,149,-0.28687368,Andre Drummond,Questionable - achilles,DET,C,60,20.69138889,7.933333333,0.016666667,7.616666667,0.5,0.966666667,1.583333333,0.608187135,5.7,0.371069182,2.65,0.95,-1.360045455,-1.118123892,0.87707089,-1.2516761,-0.196358186,1.578304572,1.609378421,-3.978197545,1.257784173
,14,159,-0.318244633,Michael Kidd-Gilchrist,,CHA,F,78,26.08952991,9.025641026,0.025641026,5.833333333,1.5,0.692307692,0.897435897,0.458401305,7.858974359,0.748663102,2.397435897,1.294871795,-1.110283008,-1.107535424,0.1888775,-0.802125319,-0.837018421,0.402104071,-0.087339767,-0.301799951,0.790918619
,14,164,-0.333059667,Moe Harkless,Questionable - left knee,ORL,F,76,25.99539474,8.223684211,0.421052632,4.407894737,0.657894737,1.157894737,0.815789474,0.460992908,7.421052632,0.5703125,1.684210526,0.907894737,-1.293655054,-0.641005919,-0.361203295,-1.180694397,0.250181682,0.262093977,-0.044354918,-1.303682682,1.314783607
,16,183,-0.390364874,Terrence Jones,Note - signing 10-day with pelicans,HOU,F,19,14.50964912,5.473684211,0.263157895,3.421052632,0.789473684,0.631578947,1,0.457446809,4.947368421,0.764705882,0.894736842,0.684210526,-1.9224584,-0.827299271,-0.742028461,-1.121542979,-0.97882713,0.57798452,-0.060945253,-0.055759991,1.617593098
,17,193,-0.404108063,Jared Sullinger,,BOS,F,45,19.81185185,6,0.022222222,5.866666667,0.777777778,0.488888889,0.511111111,0.493333333,5,0.746031746,1.4,0.644444444,-1.802113262,-1.111569126,0.201740928,-1.126800883,-1.312025074,-0.260378952,0.289346449,-0.186598544,1.671425897
,17,201,-0.427849452,Dion Waiters,Out for season - left ankle surgery (0g),CLE,G,61,28.7920765,14.6557377,1.032786885,2.426229508,3,0.967213115,0.262295082,0.412269939,13.36065574,0.746478873,3.491803279,1.983606557,0.177071038,0.08075357,-1.125933525,-0.127799147,-0.195082166,-0.687057232,-1.360461489,-0.470689312,-0.141446802
,17,204,-0.431660208,Tyler Zeller,,CLE,C,77,26.40454545,7.922077922,0,5.688311688,1.246753247,0.454545455,0.909090909,0.438282648,7.25974026,0.76433121,2.038961039,1.233766234,-1.36261907,-1.13778819,0.132913236,-0.915972594,-1.392221003,0.422090486,-0.365744186,-0.139239999,0.873639451
,19,222,-0.486606723,Harrison Barnes,Questionable - rest,GSW,F,81,25.40185185,9.234567901,0.641975309,4.111111111,1.209876543,0.641975309,0.172839506,0.439490446,7.75308642,0.757894737,2.345679012,1.24691358,-1.062510674,-0.380348554,-0.475732938,-0.932550545,-0.954550412,-0.840458728,-0.37287997,-0.216270095,0.855841407
,20,235,-0.510209188,Andrew Nicholson,,ORL,F,75,16.65888889,7.826666667,0,3.453333333,0.586666667,0.32,0.426666667,0.526748971,6.48,0.79787234,1.253333333,1.053333333,-1.384435403,-1.13778819,-0.729571247,-1.212715032,-1.706400346,-0.405187188,0.7959926,0.070324051,1.117898063
,21,244,-0.52093967,Khris Middleton,,DET,F,27,17.60802469,6.111111111,0.518518519,1.851851852,1.037037037,0.555555556,0.148148148,0.439716312,5.222222222,0.84375,1.185185185,0.407407407,-1.776707066,-0.526010023,-1.347587491,-1.01025068,-1.156350625,-0.882800318,-0.2459663,0.264903878,1.992311597
,21,248,-0.537206396,Meyers Leonard,,POR,C,69,17.48188406,5.463768116,0.043478261,3.695652174,0.47826087,0.15942029,0.550724638,0.545126354,4.014492754,0.808988764,1.289855072,0.710144928,-1.924725772,-1.086490021,-0.636059719,-1.261448943,-2.081372716,-0.192448315,0.640829101,0.124374067,1.582484751
,21,252,-0.550732376,Quincy Acy,,TOR,F,29,11.80517241,4,0.034482759,2.655172414,0.379310345,0.448275862,0.517241379,0.56,2.586206897,0.815789474,1.310344828,0.586206897,-2.259424786,-1.097103435,-1.037583809,-1.305932228,-1.406861233,-0.249866557,0.4912324,0.158684075,1.750264194
,22,258,-0.569655469,Jae Crowder,,DAL,F,78,17.34786325,5.025641026,0.807692308,2.397435897,1.192307692,0.807692308,0.217948718,0.384196185,4.705128205,0.643835616,0.935897436,0.628205128,-2.024906056,-0.184826045,-1.137045061,-0.940448636,-0.567581873,-0.763103901,-0.731793421,-0.47060388,1.693409653
,23,268,-0.592288005,Terrence Ross,,TOR,G,73,16.97648402,6.397260274,0.890410959,1.97260274,0.726027397,0.589041096,0.191780822,0.406113537,6.273972603,0.714285714,0.575342466,0.657534247,-1.711277411,-0.087229791,-1.300989381,-1.150065307,-1.078157979,-0.807977509,-0.709728709,-0.138871707,1.653705753
,23,269,-0.592368015,Alexey Shved,,MIN,G,77,23.88939394,8.675324675,1.116883117,2.272727273,3.688311688,0.701298701,0.350649351,0.372641509,8.25974026,0.72,1.948051948,1.909090909,-1.19038486,0.179975173,-1.185170473,0.18163191,-0.816023365,-0.535544295,-1.478036357,-0.447187619,-0.040572245
,24,283,-0.61422398,John Jenkins,,ATL,G,61,14.78415301,6.131147541,0.868852459,1.540983607,0.918032787,0.196721311,0.163934426,0.445578231,4.819672131,0.842857143,1.147540984,0.655737705,-1.772125621,-0.112665757,-1.467552428,-1.063749134,-1.994270476,-0.855729465,-0.171052776,0.252992036,1.656137797
,24,288,-0.637489261,Arnett Moultrie,,PHI,F,47,11.5251773,3.70212766,0,3.085106383,0.212765957,0.361702128,0.212765957,0.582089552,2.85106383,0.642857143,0.595744681,0.404255319,-2.327535013,-1.13778819,-0.871671071,-1.380802388,-1.60902101,-0.771991477,0.663843643,-0.299016538,1.996578695
,25,291,-0.642652847,Kyle O'Quinn,,ORL,C,57,11.19093567,4.070175439,0,3.666666667,0.912280702,0.192982456,0.456140351,0.512690355,3.456140351,0.666666667,0.789473684,0.649122807,-2.243378767,-1.13778819,-0.647245309,-1.066334988,-2.00300114,-0.354644701,0.333615353,-0.330190508,1.665092626
,25,294,-0.6515703,Evan Fournier,Questionable - left knee sprain,DEN,F,38,11.27061404,5.315789474,0.578947368,0.921052632,1.157894737,0.5,0.026315789,0.493421053,4,0.769230769,1.026315789,0.842105263,-1.958561941,-0.454712567,-1.706785549,-0.955919007,-1.286079333,-1.091722634,0.233931637,-0.048128525,1.403845222
,25,296,-0.657060617,Bernard James,,DAL,C,46,9.935144928,2.847826087,0,2.847826087,0.152173913,0.260869565,0.826086957,0.514563107,2.239130435,0.609756098,0.891304348,0.391304348,-2.52287599,-1.13778819,-0.96323821,-1.408041589,-1.844476814,0.279752455,0.227456003,-0.558444113,2.014110898
,25,299,-0.662329996,John Henson,Questionable - back soreness,MIL,F,63,13.12936508,6.031746032,0,4.682539683,0.492063492,0.301587302,0.666666667,0.48358209,5.317460317,0.533333333,1.666666667,0.746031746,-1.794854349,-1.13778819,-0.255217032,-1.255243963,-1.749396147,0.006373062,0.205715687,-1.514462485,1.533903453
,27,320,-0.703901461,Draymond Green,,GSW,F,79,13.42130802,2.873417722,0.17721519,3.291139241,0.670886076,0.53164557,0.316455696,0.325581395,3.265822785,0.818181818,0.696202532,0.64556962,-2.517024315,-0.928699449,-0.792162407,-1.174854131,-1.212183233,-0.594180749,-0.879729013,0.093817441,1.669902705
,28,325,-0.717219221,Darius Miller,,NOR,F,52,13.34551282,2.269230769,0.423076923,1.5,0.846153846,0.326923077,0.230769231,0.407407407,2.076923077,1,0.153846154,0.442307692,-2.655175143,-0.638617543,-1.483368118,-1.096062368,-1.690234153,-0.741118845,-0.223776139,0.128313511,1.945065806
,28,332,-0.721638208,Festus Ezeli,,GSW,C,78,14.35982906,2.448717949,0,4.012820513,0.282051282,0.294871795,0.948717949,0.437869822,2.166666667,0.530864198,1.038461538,0.807692308,-2.614134365,-1.13778819,-0.513663558,-1.349655116,-1.765077639,0.490044296,-0.104704246,-0.950196351,1.450431297
,28,333,-0.721817285,Orlando Johnson,,IND,G,51,12.13039216,3.980392157,0.705882353,2.156862745,0.921568627,0.196078431,0.176470588,0.4,3.529411765,0.71875,0.62745098,0.568627451,-2.263908232,-0.304947323,-1.229882923,-1.062159594,-1.995771676,-0.834232024,-0.437602092,-0.141913831,1.774062132
,30,360,-0.781110061,Mike Scott,,ATL,F,40,9.392916667,4.575,0,2.75,0.3,0.1,0.05,0.476190476,3.675,0.767857143,1.4,0.525,-2.127947723,-1.13778819,-1.000989574,-1.341586256,-2.22012603,-1.051108136,0.091761858,-0.075328709,1.833122207
,31,364,-0.794998196,Kendall Marshall,,PHO,G,48,14.63229167,2.979166667,0.479166667,0.875,2.979166667,0.458333333,0.083333333,0.370860927,3.145833333,0.571428571,0.291666667,1.1875,-2.492844209,-0.572439616,-1.72455739,-0.137164789,-1.383375864,-0.99394699,-0.568415136,-0.218511514,0.936271742
,31,367,-0.803898127,Will Barton,,POR,G,73,12.24383562,4.04109589,0.123287671,1.98630137,0.794520548,0.465753425,0.123287671,0.381877023,4.232876712,0.769230769,0.890410959,0.821917808,-2.250027974,-0.992326258,-1.295703041,-1.119274157,-1.366049084,-0.925431918,-0.676661394,-0.040783031,1.431173717
