Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,5,51,0.065384531,Brandon Roy,,POR,G,57,35.10526316,16.75438596,0.964912281,4.385964912,4.035087719,1.192982456,0.175438596,0.45620915,13.42105263,0.838174274,4.228070175,2.01754386,0.355415671,0.054167876,-0.432543718,0.383121246,0.465269799,-0.67863332,-0.299637509,0.731035266,0.010265465
,9,106,-0.183249105,Jorge Garbajosa,,TOR,F,67,28.26865672,8.462686567,0.985074627,4.925373134,1.865671642,1.164179104,0.223880597,0.419659735,7.895522388,0.730769231,1.164179104,0.955223881,-1.155419309,0.078639346,-0.227265043,-0.643383843,0.393959233,-0.60398194,-0.722469736,-0.183569455,1.4142488
,10,119,-0.209408855,Kyle Lowry,,MEM,G,10,17.4,5.6,0.3,3.1,3.2,1.4,0.1,0.368421053,3.8,0.892857143,2.8,1.2,-1.677030959,-0.752850327,-0.921934059,-0.012018166,0.97779829,-0.794887714,-0.710541402,0.916036861,1.090747784
,13,150,-0.282784537,LaMarcus Aldridge,,POR,F,63,21.87301587,8.968253968,0,4.952380952,0.380952381,0.349206349,1.158730159,0.503131524,7.603174603,0.72173913,1.825396825,0.682539683,-1.063299603,-1.11696672,-0.216986873,-1.345910156,-1.623728488,0.83666481,0.52778825,-0.317255745,1.77463369
,13,151,-0.282953469,Andrea Bargnani,,TOR,C,65,24.89230769,11.55384615,1.538461538,3.923076923,0.769230769,0.492307692,0.815384615,0.4272,9.615384615,0.823943662,2.184615385,1.646153846,-0.592177468,0.750296832,-0.608701643,-1.162188027,-1.269442015,0.307553324,-0.745322115,0.272297952,0.501101936
,14,161,-0.333434818,Paul Millsap,,UTA,F,82,17.62195122,6.792682927,0.012195122,5.146341463,0.756097561,0.817073171,0.890243902,0.523929471,4.841463415,0.673076923,2.536585366,1.146341463,-1.459711565,-1.102165241,-0.143172728,-1.168402282,-0.465396342,0.422914974,0.538650675,-0.785294836,1.161663979
,14,164,-0.336480049,Rudy Gay,,MEM,F,78,26.83333333,10.84615385,0.666666667,4.448717949,1.282051282,0.91025641,0.948717949,0.422368421,9.743589744,0.727272727,2.679487179,1.794871795,-0.721126462,-0.307819181,-0.40866225,-0.919536157,-0.234695773,0.513026205,-0.846267088,-0.407793053,0.30455332
,15,170,-0.35604063,Rajon Rondo,,BOS,G,77,23.4025974,6.480519481,0.077922078,3.792207792,3.844155844,1.662337662,0.103896104,0.418344519,5.805194805,0.64673913,2.38961039,1.779220779,-1.516591034,-1.022391034,-0.658505559,0.292777792,1.627286849,-0.788883636,-0.539643813,-0.923653254,0.325238016
,16,184,-0.387849034,Randy Foye,,MIN,G,82,22.7195122,10.14634146,0.829268293,2.658536585,2.829268293,0.646341463,0.256097561,0.434153401,8.426829268,0.854166667,2.341463415,1.853658537,-0.84863965,-0.110466122,-1.089938589,-0.187437713,-0.88808933,-0.554334096,-0.537388017,0.498792623,0.226859587
,17,193,-0.40771482,Renaldo Balkman,,NYK,F,68,15.45588235,4.911764706,0.073529412,4.323529412,0.647058824,0.838235294,0.647058824,0.505454545,4.044117647,0.566666667,1.323529412,0.720588235,-1.80243468,-1.027722506,-0.456304344,-1.219996266,-0.413003723,0.048155432,0.309899725,-0.832374976,1.724347962
,17,195,-0.410579314,Tarence Kinsey,,MEM,F,47,20.27659574,7.85106383,0.276595745,2.063829787,0.85106383,1.127659574,0.042553191,0.458745875,6.446808511,0.795918367,2.085106383,0.978723404,-1.266863415,-0.781256571,-1.316261843,-1.123466984,0.303545158,-0.883415924,-0.100135219,0.089449614,1.383191359
,19,223,-0.472183077,Shelden Williams,,ATL,F,80,18.7375,5.55,0.025,5.4375,0.55,0.65,0.4875,0.454794521,4.5625,0.763888889,1.8,1.2,-1.686141486,-1.086623687,-0.032368636,-1.265921701,-0.879031623,-0.197732152,-0.098684354,-0.093891833,1.090747784
,19,228,-0.475864278,Craig Smith,,MIN,F,82,18.51219512,7.414634146,0,5.06097561,0.597560976,0.62195122,0.219512195,0.531317495,5.646341463,0.623655914,2.268292683,0.902439024,-1.346385501,-1.11696672,-0.175659792,-1.243417219,-0.948474043,-0.610713851,0.704630574,-1.029802267,1.484010321
,20,234,-0.494178737,James White,,SAS,G,6,22.16666667,8.333333333,0.333333333,3.333333333,0.833333333,0.5,0.166666667,0.43902439,6.833333333,0.8,2.5,0.833333333,-1.178988831,-0.71239295,-0.833136084,-1.131856543,-1.250397606,-0.692151273,-0.367173958,0.143146824,1.575341785
,22,255,-0.567352285,J.J. Redick,,ORL,G,42,14.4047619,6,0.904761905,1.238095238,0.857142857,0.285714286,0,0.41025641,4.642857143,0.9,1.428571429,0.5,-1.604146745,-0.018837917,-1.630505652,-1.120590563,-1.780920438,-0.948992375,-0.499201037,0.481142375,2.015881786
,23,266,-0.580284085,Rodney Carney,,PHI,F,67,17.47761194,6.597014925,0.373134328,1.910447761,0.388059701,0.567164179,0.343283582,0.465473146,5.835820896,0.609195402,1.298507463,0.641791045,-1.495364337,-0.664085635,-1.374633328,-1.342547177,-1.08411433,-0.419976374,-0.012772109,-0.65755138,1.828487905
,23,268,-0.582613202,Tyrus Thomas,,CHI,F,72,13.19444444,5.194444444,0,3.736111111,0.555555556,0.638888889,1.055555556,0.475177305,3.916666667,0.605714286,2.430555556,1.305555556,-1.750927454,-1.11696672,-0.679853867,-1.263292972,-0.906540215,0.677667937,0.072427239,-1.227276216,0.95124345
,23,269,-0.584436665,Solomon Jones,,ATL,F,55,11.90909091,3.436363636,0,2.472727273,0.2,0.2,0.763636364,0.5078125,2.327272727,0.786666667,1.363636364,0.454545455,-2.071268298,-1.11696672,-1.160650692,-1.431531602,-1.993129571,0.227806856,0.198951023,0.010903598,2.075955423
,23,270,-0.585727588,Jordan Farmar,,LAL,G,71,15.12676056,4.507042254,0.633802817,1.661971831,1.901408451,0.605633803,0.098591549,0.421768707,4.14084507,0.710526316,0.535211268,1.028169014,-1.876179375,-0.347706735,-1.469194011,-0.626474217,-0.988872266,-0.797058202,-0.350831426,-0.133075109,1.317843052
,23,274,-0.594898231,Sergio Rodriguez,,POR,G,64,13.234375,3.859375,0.375,1.421875,3.40625,0.546875,0.03125,0.426160338,3.703125,0.807692308,0.40625,1.203125,-1.994191171,-0.661821229,-1.56056592,0.085573382,-1.134345736,-0.900834668,-0.279915942,0.005399486,1.086617721
,23,275,-0.596842862,Ronnie Brewer,,UTA,G,55,12.07272727,4.727272727,0,1.363636364,0.436363636,0.672727273,0.109090909,0.534031414,3.472727273,0.674698795,1.509090909,0.436363636,-1.836051062,-1.11696672,-1.582729376,-1.319691149,-0.82276405,-0.780878199,0.460637639,-0.473127713,2.099984877
