Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,11,130,-0.251215848,Andrew Wiggins,,MIN,F,82,36.20487805,16.91463415,0.475609756,4.56097561,2.085365854,1.036585366,0.609756098,0.435964912,13.90243902,0.759656652,5.682926829,2.146341463,0.606797169,-0.629651194,-0.42027837,-0.396360586,0.083084648,-0.109329213,-0.680857522,-0.207583137,-0.506764426
,12,135,-0.260622343,Jordan Clarkson,,LAL,G,59,25.01355932,11.91525424,0.644067797,3.237288136,3.491525424,0.86440678,0.203389831,0.448739496,10.08474576,0.829113924,2.677966102,1.627118644,-0.467807561,-0.43014063,-0.940828123,0.270493874,-0.318801355,-0.791948326,-0.256081917,0.40065161,0.188861343
,12,143,-0.26906957,Jabari Parker,,MIL,F,25,29.53666667,12.32,0.16,5.52,1.68,1.24,0.2,0.490494297,10.52,0.696969697,2.64,1.88,-0.38080843,-1.00343852,-0.043135035,-0.588600523,0.557879429,-0.797642605,0.526823036,-0.542768491,-0.149934991
,13,149,-0.29435199,Marcus Smart,,BOS,G,67,26.98855721,7.805970149,1.358208955,3.313432836,3.089552239,1.47761194,0.268656716,0.36687631,7.119402985,0.645669291,1.895522388,1.343283582,-1.351088327,0.415640937,-0.910883664,0.07986287,1.112494929,-0.682312198,-1.230134726,-0.651875457,0.569127725
,15,178,-0.344343383,Elfrid Payton,Questionable - left knee tendinopathy,ORL,G,82,30.34979675,8.914634146,0.134146341,4.256097561,6.5,1.731707317,0.243902439,0.425141243,8.634146341,0.551401869,2.609756098,2.475609756,-1.112783658,-1.034057883,-0.540173886,1.697227178,1.705584799,-0.723894742,-0.585388908,-1.557703632,-0.947899716
,17,202,-0.404151053,Jusuf Nurkic,,DEN,C,62,17.79516129,6.870967742,0,6.161290323,0.806451613,0.838709677,1.096774194,0.446475196,6.177419355,0.636363636,2.129032258,1.370967742,-1.552064854,-1.19293194,0.209057062,-1.002870461,-0.378781553,0.708769847,-0.175489551,-0.785086058,0.532038032
,19,218,-0.442772985,Rodney Hood,,UTA,G,50,21.28733333,8.66,1.24,2.34,1.66,0.6,0.24,0.414438503,7.48,0.7625,1.6,0.9,-1.167516658,0.275642067,-1.293693226,-0.598085285,-0.935959307,-0.730450107,-0.649670747,-0.048237942,1.16301434
,20,232,-0.47450721,K.J. McDaniels,,HOU,G,62,21.80483871,7.85483871,0.693548387,3.225806452,1.161290323,0.709677419,1.129032258,0.396313364,7,0.751879699,2.14516129,1.693548387,-1.340584148,-0.37153909,-0.945343379,-0.834592421,-0.679958717,0.762957345,-0.83641584,-0.124951122,0.099862479
,21,250,-0.495732446,Mitch McGary,,OKC,F,32,15.153125,6.28125,0,5.15625,0.4375,0.5,0.5,0.533333333,5.15625,0.625,1.25,0.96875,-1.678823269,-1.19293194,-0.186182375,-1.177841377,-1.169371609,-0.293698871,0.666633524,-0.500283023,1.070906925
,23,275,-0.533476323,Zach LaVine,Out for season - knee (0g),MIN,G,77,24.69761905,10.1038961,0.74025974,2.779220779,3.584415584,0.701298701,0.12987013,0.422451994,8.792207792,0.84180791,2.298701299,2.506493506,-0.857154651,-0.316217252,-1.120966451,0.314545928,-0.699515676,-0.915447634,-0.639198009,0.421942876,-0.989276042
