Player Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
59,14.6,5.2,2,3.7,53.7,0.3,0.9,32.7,1,1.3,75,1.4,2.9,4.3,0.8,0.5,0.8,0.9,8.7,
26,,,,,,,,,,,,,,,,,,,,
Royce O'Neale,,,,,,,,,,,,,,,,,,,,
47,15.2,5.1,1.7,4.1,42.7,0.7,1.7,37.8,1,1.3,79.7,0.4,2.8,3.2,1.4,0.5,0.1,0.7,7,
27,,,,,,,,,,,,,,,,,,,,
Jordan Bell,,,,,,,,,,,,,,,,,,,,
38,14.4,5.1,2.3,3.4,66.4,0,0.1,0,0.5,0.8,66.7,1.2,2.7,3.9,1.8,0.7,1.1,1,10.1,
28,,,,,,,,,,,,,,,,,,,,
Tyler Dorsey,,,,,,,,,,,,,,,,,,,,
34,12.9,5,1.7,4.6,37.6,0.9,2.6,36,0.6,0.9,69,0.3,1.5,1.8,1.1,0.2,0.1,0.4,4.7,
29,,,,,,,,,,,,,,,,,,,,
Tyler Cavanaugh,,,,,,,,,,,,,,,,,,,,
30,13.8,5,1.8,3.9,47.4,0.9,2.4,36.6,0.4,0.6,76.5,1.1,2.2,3.3,0.8,0.3,0.1,0.4,7,
30,,,,,,,,,,,,,,,,,,,,
Malik Monk,,,,,,,,,,,,,,,,,,,,
43,11.5,4.7,1.7,5.1,33,1,3,33.1,0.3,0.4,70.6,0,0.7,0.8,1.1,0.2,0.1,0.5,2.7,
31,,,,,,,,,,,,,,,,,,,,
Torrey Craig,,,,,,,,,,,,,,,,,,,,
26,16.1,4.3,1.6,3.5,45.1,0.4,1.5,26.3,0.7,1.1,65.5,1,2,3,0.7,0.3,0.2,0.4,5.7,
32,,,,,,,,,,,,,,,,,,,,
Sterling Brown,,,,,,,,,,,,,,,,,,,,
34,15,4.2,1.6,3.9,40.6,0.7,1.7,39.7,0.4,0.4,85.7,0.5,2.4,2.9,0.4,0.8,0.3,0.5,5.7,
33,,,,,,,,,,,,,,,,,,,,
Zach Collins,,,,,,,,,,,,,,,,,,,,
44,15.1,4,1.6,4.1,38.9,0.5,1.5,31.3,0.4,0.6,57.1,0.7,2.6,3.3,0.8,0.3,0.5,0.8,5.3,
34,,,,,,,,,,,,,,,,,,,,
Wes Iwundu,,,,,,,,,,,,,,,,,,,,
41,14.5,3.5,1.4,3.1,45.7,0.1,0.6,23.1,0.5,0.7,75.9,0.5,1.6,2.1,0.9,0.5,0.2,0.4,4.9,
35,,,,,,,,,,,,,,,,,,,,
Khem Birch,,,,,,,,,,,,,,,,,,,,
23,11.9,3.3,1.3,2.5,52.6,0,0,0,0.7,1.2,60.7,1.5,2.1,3.6,0.7,0.4,0.4,0.5,6.3,
36,,,,,,,,,,,,,,,,,,,,
Cedi Osman,,,,,,,,,,,,,,,,,,,,
48,9.7,3.2,1.2,2.5,49.2,0.4,1,38.8,0.4,0.6,56.7,0.2,1.6,1.8,0.4,0.3,0.1,0.4,3.9,
37,,,,,,,,,,,,,,,,,,,,
Sindarius Thornwell,,,,,,,,,,,,,,,,,,,,
50,12.8,3.2,1.1,2.5,44.4,0.3,0.8,38.5,0.6,0.9,67.4,0.3,1.2,1.4,0.7,0.5,0.3,0.6,3.8,
38,,,,,,,,,,,,,,,,,,,,
TJ Leaf,,,,,,,,,,,,,,,,,,,,
43,9.3,3.1,1.3,2.7,47,0.4,0.8,47.2,0.2,0.3,66.7,0.6,1,1.6,0.2,0.1,0.1,0.2,3.3,
39,,,,,,,,,,,,,,,,,,,,
Terrance Ferguson,,,,,,,,,,,,,,,,,,,,
45,12.3,3,1.1,2.8,39.8,0.6,2,30.7,0.1,0.1,83.3,0.4,0.4,0.8,0.3,0.4,0.1,0.2,2.6,
40,,,,,,,,,,,,,,,,,,,,
Damyean Dotson,,,,,,,,,,,,,,,,,,,,
28,8.5,2.8,1.1,2.7,41.3,0.3,1.2,27.3,0.3,0.3,77.8,0.2,1.3,1.4,0.5,0.3,0,0.3,3.1,
41,,,,,,,,,,,,,,,,,,,,
Dwayne Bacon,,,,,,,,,,,,,,,,,,,,
38,12.5,2.7,1.1,3.1,34.7,0.3,0.9,30.3,0.3,0.4,71.4,0.1,2.3,2.4,0.6,0.2,0.1,0.4,3.4,
42,,,,,,,,,,,,,,,,,,,,
Alex Caruso,,,,,,,,,,,,,,,,,,,,
24,12.9,2.6,1,2.5,41.7,0.2,0.8,25,0.3,0.5,58.3,0.3,1,1.3,1.9,0.5,0.3,0.9,4,
43,,,,,,,,,,,,,,,,,,,,
Abdel Nader,,,,,,,,,,,,,,,,,,,,
29,9.3,2.5,0.9,2.7,34.6,0.5,1.3,35.9,0.2,0.4,45.5,0.3,1,1.2,0.6,0.2,0.1,0.7,2.1,
44,,,,,,,,,,,,,,,,,,,,
Brandon Paul,,,,,,,,,,,,,,,,,,,,
53,9.2,2.5,0.9,2.1,44,0.3,0.9,28.6,0.4,0.6,60.6,0.1,1.1,1.2,0.7,0.5,0.1,0.4,3,
45,,,,,,,,,,,,,,,,,,,,
Semi Ojeleye,,,,,,,,,,,,,,,,,,,,
53,14.1,2.4,0.8,2.5,30.8,0.5,1.9,29,0.3,0.5,64,0.5,1.5,1.9,0.2,0.3,0,0.3,2.7,
46,,,,,,,,,,,,,,,,,,,,
Dakari Johnson,,,,,,,,,,,,,,,,,,,,
26,5.8,2,0.8,1.5,55.3,0,0,0,0.4,0.7,55.6,0.6,0.7,1.2,0.3,0.2,0.3,0.1,3,
47,,,,,,,,,,,,,,,,,,,,
Guerschon Yabusele,,,,,,,,,,,,,,,,,,,,
22,5,1.8,0.6,1.5,40.6,0.4,1,36.4,0.2,0.4,55.6,0.5,0.9,1.4,0.3,0.1,0.1,0.3,2.2,
