Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,2,17,0.403769152,Chris Paul,,NOR,G,78,36.15384615,16.08974359,0.641025641,5.115384615,7.833333333,2.243589744,0.076923077,0.42962963,12.11538462,0.846982759,5.948717949,2.333333333,0.283157155,-0.318272051,-0.143244207,2.230209236,2.671878335,-0.838128014,-0.799129953,1.183470053,-0.636018182
,7,83,-0.069349709,Charlie Villanueva,,TOR,F,81,29.17283951,13,0.864197531,6.432098765,1.086419753,0.740740741,0.777777778,0.462765957,11.60493827,0.70625,1.975308642,1.222222222,-0.236268953,-0.029313859,0.377396398,-0.970541911,-0.516666578,0.177796743,0.005005552,-0.306649691,0.875094915
,9,104,-0.186323523,Andrew Bogut,,MIL,C,82,28.48780488,9.365853659,0,6.987804878,2.341463415,0.597560976,0.829268293,0.5330033,7.390243902,0.628865979,2.365853659,1.524390244,-0.847216248,-1.148258344,0.597127588,-0.375146344,-0.820446339,0.25243488,1.038865967,-0.838418732,0.464145865
,10,120,-0.232242218,Danny Granger,,IND,F,78,22.5,7.525641026,0.384615385,4.923076923,1.153846154,0.743589744,0.794871795,0.462343096,6.128205128,0.777027027,1.897435897,1.025641026,-1.156579941,-0.650266568,-0.219284397,-0.938554673,-0.510621943,0.202575396,-0.009211342,0.04931781,1.142445693
,11,126,-0.257575881,Channing Frye,,NYK,C,65,24.27692308,12.16923077,0.046153846,5.692307692,0.815384615,0.461538462,0.723076923,0.47327044,9.784615385,0.81938326,3.492307692,1.492307692,-0.375932072,-1.088499331,0.084876361,-1.099121597,-1.109040798,0.098505055,0.208098685,0.455152574,0.507778193
,11,127,-0.258244252,Raymond Felton,,CHA,G,80,29.875,11.875,1.2125,3.3125,5.575,1.275,0.1,0.390713477,11.0375,0.727678571,2.8,2.275,-0.425396094,0.42166073,-0.856120983,1.158850767,0.616853583,-0.804676833,-1.590563567,-0.288121127,-0.556684744
,12,137,-0.280298117,Luther Head,,HOU,G,80,28.7125,8.8375,1.4125,3.325,2.6875,1.1125,0.1125,0.403174603,7.875,0.699186992,1.5375,1.4875,-0.936039374,0.680616454,-0.851178371,-0.210985801,0.27208272,-0.786557444,-0.942107109,-0.262830792,0.514316663
,14,163,-0.335601036,Deron Williams,,UTA,G,80,28.8375,10.8,1.1375,2.425,4.4875,0.75,0.2125,0.421118012,10.0625,0.703703704,1.6875,1.8125,-0.606117584,0.324552334,-1.207046457,0.642938293,-0.497021514,-0.641602326,-0.837847809,-0.270580344,0.072316082
,15,169,-0.356390656,Amir Johnson,,DET,F,3,13,6.666666667,0.666666667,1.333333333,1,0,0.666666667,0.7,3.333333333,1,1.333333333,1.333333333,-1.300984709,-0.285072599,-1.638701266,-1.011539638,-2.088271653,0.016735501,1.576994395,0.799340456,0.723983605
,15,179,-0.379602935,Chuck Hayes,,HOU,F,39,13.56410256,3.769230769,0,4.58974359,0.358974359,0.666666667,0.358974359,0.561904762,2.692307692,0.644444444,1.153846154,0.307692308,-1.788081391,-1.148258344,-0.351087392,-1.31564366,-0.673827085,-0.429280246,0.525517665,-0.354623196,2.118857232
,17,195,-0.411833563,Ryan Gomes,,BOS,F,61,22.55737705,7.557377049,0.049180328,4.901639344,0.950819672,0.573770492,0.081967213,0.487323944,5.819672131,0.751677852,2.442622951,0.901639344,-1.151244702,-1.084580707,-0.227761008,-1.034870898,-0.87092182,-0.830816281,0.282047855,-0.099442704,1.311088202
,17,203,-0.436912256,Marvin Williams,,ATL,F,79,24.73417722,8.506329114,0.164556962,4.848101266,0.797468354,0.607594937,0.303797468,0.442561205,6.721518987,0.747035573,3.202531646,1.050632911,-0.99171351,-0.935193508,-0.248930445,-1.107621112,-0.799157616,-0.509261973,-0.275347327,-0.173441492,1.108456684
,18,211,-0.447694274,Salim Stoudamire,,ATL,G,61,20.2295082,9.62295082,1.344262295,1.901639344,1.229508197,0.442622951,0.049180328,0.413441955,8.049180328,0.9,1.803278689,1.344262295,-0.80399487,0.592263733,-1.413987963,-0.902660428,-1.14917321,-0.878342549,-0.796921592,0.614448213,0.709120198
,18,213,-0.451668101,Francisco Garcia,,SAC,F,67,19.37313433,5.626865672,0.582089552,2.76119403,1.402985075,0.611940299,0.701492537,0.4,4.850746269,0.772277228,1.507462687,1.119402985,-1.475788789,-0.394581238,-1.074112317,-0.820362603,-0.789938206,0.067217383,-0.616603328,0.024226923,1.014929261
,20,229,-0.482752585,Rashad McCants,,MIN,G,79,17.18987342,7.962025316,0.848101266,1.810126582,0.797468354,0.556962025,0.278481013,0.451492537,6.784810127,0.735849057,1.341772152,1.088607595,-1.083218062,-0.050154959,-1.450172931,-1.107621112,-0.906583786,-0.545959471,-0.156301838,-0.101572152,1.056811047
,20,232,-0.486293106,Johan Petro,,SEA,C,67,18.86567164,5.179104478,0,4.328358209,0.194029851,0.373134328,0.746268657,0.510204082,4.388059701,0.626666667,1.119402985,0.895522388,-1.551063273,-1.148258344,-0.45444152,-1.39389371,-1.296604917,0.13212266,0.410507978,-0.3944141,1.319407273
,20,234,-0.487963701,David Lee,,NYK,F,67,16.79104478,5.149253731,0,4.507462687,0.641791045,0.447761194,0.298507463,0.598253275,3.417910448,0.577235772,1.835820896,0.76119403,-1.556081572,-1.148258344,-0.383622,-1.181474782,-1.13827157,-0.516930107,0.920060946,-0.889189961,1.50209408
,20,239,-0.494952735,Sean May,,CHA,F,23,17.34782609,8.217391304,0,4.739130435,0.956521739,0.739130435,0.52173913,0.409356725,7.434782609,0.765625,2.782608696,1.434782609,-1.040287716,-1.148258344,-0.292018491,-1.032165824,-0.52008311,-0.19334438,-0.798070416,-0.016358742,0.586012409
,20,240,-0.496250975,Martell Webster,,POR,F,61,17.26229508,6.62295082,1.06557377,2.131147541,0.557377049,0.344262295,0.229508197,0.399425287,5.704918033,0.85915493,1.163934426,0.704918033,-1.308333912,0.23142379,-1.32323836,-1.221520973,-1.357861753,-0.616948074,-0.729271177,0.280862145,1.578629537
,21,247,-0.507694419,Joey Graham,,TOR,F,80,19.5625,6.6625,0.3625,3.05,0.75,0.4625,0.1625,0.47826087,5.175,0.812030075,1.6625,1.15,-1.30168518,-0.678901095,-0.959915842,-1.130140207,-1.107000734,-0.714079885,0.155197965,0.193957944,0.973317266
,21,248,-0.507928056,Ike Diogu,,GSW,F,68,15.05882353,7.088235294,0,3.352941176,0.426470588,0.220588235,0.441176471,0.527439024,4.823529412,0.80952381,2.470588235,1.147058824,-1.230113537,-1.148258344,-0.840130179,-1.283623296,-1.620256906,-0.310124078,0.619339439,0.264497126,0.977317271
,21,252,-0.521220732,Nate Robinson,,NYK,G,72,21.29166667,9.208333333,0.791666667,2.291666667,2.041666667,0.819444444,0.013888889,0.40569395,7.805555556,0.75,2.777777778,1.583333333,-0.873697465,-0.123225272,-1.259767655,-0.517370603,-0.349683538,-0.929499296,-0.894493114,-0.127232805,0.383983158
,22,261,-0.538030827,Jarrett Jack,,POR,G,79,20.07594937,6.658227848,0.253164557,2.025316456,2.772151899,0.518987342,0.025316456,0.441588785,5.417721519,0.8,2.025316456,1.291139241,-1.302403384,-0.820466289,-1.365084922,-0.170826747,-0.987153413,-0.912934453,-0.235237624,0.170461745,0.781367647
,22,264,-0.544720365,Monta Ellis,,GSW,G,48,17.9375,6.833333333,0.583333333,2.166666667,1.625,0.666666667,0.229166667,0.415335463,6.520833333,0.701754386,1.1875,1.208333333,-1.272965874,-0.392970817,-1.309193778,-0.715038217,-0.673827085,-0.617443139,-0.623526444,-0.191501758,0.893983828
,23,276,-0.5703005,Travis Diener,,ORL,G,23,10.69565217,3.826086957,1.086956522,0.913043478,0.695652174,0.304347826,0,0.420289855,3,0.833333333,0.260869565,0.434782609,-1.778523126,0.259109719,-1.804887651,-1.155922939,-1.442546959,-0.949631951,-0.264677549,0.058361756,1.946014196
,24,277,-0.570881846,Bracey Wright,,MIN,G,7,19.42857143,8.857142857,0.857142857,2.571428571,0.714285714,0.142857143,0,0.411764706,7.285714286,0.875,2.285714286,1.142857143,-0.932737154,-0.0384481,-1.149147284,-1.147083145,-1.785176388,-0.949631951,-0.74717426,0.628430103,0.983031564
,25,296,-0.617584204,Gerald Green,,BOS,G,31,11.74193548,5.258064516,0.193548387,1.322580645,0.580645161,0.419354839,0.129032258,0.470588235,4.387096774,0.783783784,1.193548387,0.709677419,-1.537789063,-0.897656031,-1.642952975,-1.210482528,-1.198540393,-0.762593089,0.061926942,0.057672533,1.572156762
,26,302,-0.62924431,Chris Taft,,GSW,F,17,8.411764706,2.764705882,0,2.117647059,0.117647059,0.117647059,0.352941176,0.605263158,2.235294118,0.166666667,0.352941176,0.117647059,-1.956955098,-1.148258344,-1.328576572,-1.430129881,-1.838663788,-0.438025653,0.628251401,-0.528159969,2.37731911
,26,309,-0.63692657,Dijon Thompson,,PHO,F,10,4.3,2.8,0.4,1.1,0.1,0.3,0.1,0.44,2.5,1,0.2,0.2,-1.951021697,-0.630346897,-1.730963362,-1.438501685,-1.451771597,-0.804676833,-0.124112887,0.133736871,2.265318963
,27,321,-0.651046759,Orien Greene,,BOS,G,80,15.3875,3.15,0.1125,1.8125,1.6,0.9625,0.125,0.394422311,3.1375,0.661764706,0.85,1.3625,-1.892182142,-1.00259575,-1.44923446,-0.726898274,-0.046167308,-0.768438054,-0.43889673,-0.219325001,0.684316886
,28,326,-0.666314257,Daniel Ewing,,LAC,G,66,14.6969697,3.818181818,0.333333333,1.287878788,1.272727273,0.560606061,0.090909091,0.380392157,3.863636364,0.782608696,0.696969697,0.863636364,-1.779852083,-0.716665472,-1.656674401,-0.8821572,-0.898852357,-0.817854571,-0.645901305,0.038356756,1.362772323
,28,327,-0.666738556,Wayne Simien,,MIA,F,43,9.674418605,3.395348837,0,2.046511628,0.162790698,0.302325581,0.023255814,0.483333333,2.790697674,0.882352941,0.790697674,0.558139535,-1.85093581,-1.148258344,-1.35670416,-1.408713636,-1.446837488,-0.915921459,0.105576244,0.242899094,1.778248556
,29,346,-0.693754712,Linas Kleiza,,DEN,F,61,8.459016393,3.491803279,0.032786885,1.901639344,0.245901639,0.163934426,0.213114754,0.445086705,2.836065574,0.703703704,1.327868852,0.262295082,-1.834720563,-1.105806586,-1.413987963,-1.369285616,-1.740457415,-0.640711208,-0.109973871,-0.209446723,2.180597541
,29,347,-0.699356858,Shavlik Randolph,,PHI,F,57,8.50877193,2.298245614,0,2.333333333,0.333333333,0.333333333,0.210526316,0.453608247,1.701754386,0.605633803,1.245614035,0.368421053,-2.035373139,-1.148258344,-1.243292281,-1.327807821,-1.381049369,-0.644463282,-0.042554427,-0.507679087,2.036266031
,30,349,-0.701335872,C.J. Miles,,UTA,G,23,8.782608696,3.434782609,0.217391304,1.652173913,0.695652174,0.304347826,0.086956522,0.368421053,3.304347826,0.75,1.043478261,0.391304348,-1.84430648,-0.866784732,-1.512628836,-1.155922939,-1.442546959,-0.823584023,-0.633761076,-0.037632511,2.005144709
,30,357,-0.713337112,Josh Powell,,DAL,C,37,11.7027027,2.972972973,0,2.189189189,0.243243243,0.189189189,0.108108108,0.456790123,2.189189189,0.8,1.216216216,0.594594595,-1.921942689,-1.148258344,-1.300288171,-1.370546765,-1.686875222,-0.792923716,-0.036734855,0.108866147,1.72866961
,30,358,-0.713408862,Robert Whaley,,UTA,C,23,9.086956522,2.130434783,0,1.869565217,0.739130435,0.304347826,0.347826087,0.403508772,2.47826087,0.5,0.260869565,0.608695652,-2.063584324,-1.148258344,-1.426670361,-1.135296754,-1.442546959,-0.445440237,-0.304489395,-0.163885535,1.709492146
,32,374,-0.737966858,Ronny Turiaf,,LAL,C,23,6.913043478,1.956521739,0,1.608695652,0.347826087,0.130434783,0.434782609,0.5,1.304347826,0.555555556,1.173913043,0.304347826,-2.09282137,-1.148258344,-1.529820531,-1.320932426,-1.811532498,-0.319392308,0.085420411,-0.62777039,2.123405733
,32,375,-0.738932572,Andray Blatche,,WAS,F,29,6.103448276,2.24137931,0.103448276,1.310344828,0.344827586,0.172413793,0.24137931,0.388059701,2.310344828,0.833333333,0.413793103,0.413793103,-2.044933105,-1.014315729,-1.647791127,-1.322354922,-1.722467023,-0.599740287,-0.356382805,0.083031887,1.974559961
,33,387,-0.757999325,Hakim Warrick,,MEM,F,68,10.64705882,4.088235294,0,2.117647059,0.441176471,0.205882353,0.308823529,0.442982456,3.352941176,0.660869565,1.691176471,0.823529412,-1.734452579,-1.148258344,-1.328576572,-1.276646792,-1.651457889,-0.50197644,-0.141592303,-0.456350857,1.417317849
,33,389,-0.758697065,Brandon Bass,,NOR,F,29,9.172413793,2.344827586,0,2.344827586,0.103448276,0.103448276,0.24137931,0.4,2.413793103,0.631578947,0.655172414,0.379310345,-2.027542104,-1.148258344,-1.23874735,-1.436865815,-1.868788875,-0.599740287,-0.313917952,-0.215869432,2.021456574
,34,397,-0.767090615,Martynas Andriuskevicius,,CLE,C,6,1.666666667,0,0,0.666666667,0,0.333333333,0,0,0.166666667,0,0,0,-2.421738137,-1.148258344,-1.902307256,-1.485941913,-1.381049369,-0.949631951,-0.1684853,0.016277415,2.537319321
,34,398,-0.767511311,Ronnie Price,,SAC,G,29,5.172413793,2.068965517,0.206896552,0.517241379,0.379310345,0.206896552,0,0.362068966,2,1,0.413793103,0.344827586,-2.073918108,-0.880373113,-1.961391357,-1.305996223,-1.649306097,-0.949631951,-0.414635114,0.259296979,2.068353187
,34,402,-0.771685738,Lawrence Roberts,,MEM,F,33,5.545454545,1.545454545,0,1.484848485,0.151515152,0.242424242,0.060606061,0.454545455,1.333333333,0.47826087,0.696969697,0.151515152,-2.161927115,-1.148258344,-1.578790813,-1.41406278,-1.573928174,-0.861780365,-0.03389056,-0.503791938,2.331258444
,35,409,-0.779126967,Luke Schenscher,,CHI,C,18,8.111111111,2,0,1.555555556,0.388888889,0.055555556,0.166666667,0.615384615,1.444444444,0.307692308,0.722222222,0.277777778,-2.085512109,-1.148258344,-1.550832602,-1.301452139,-1.970401272,-0.708040088,0.430298163,-0.837485358,2.159541047
