Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,1,11,0.367878198,Stephen Curry,,GSW,G,80,36.1875,17.4875,2.075,4.4375,5.9,1.9,0.2375,0.461942257,14.2875,0.885,2.5,3.05,0.588631381,1.576209119,-0.528725941,1.33354399,2.270954443,-0.799134557,-0.277640856,0.814731803,-1.667665599
,6,71,-0.02186899,Tyreke Evans,Questionable - personal,SAC,G,72,37.23611111,20.13888889,0.5,5.277777778,5.722222222,1.513888889,0.347222222,0.457118353,16.19444444,0.748387097,6.458333333,3,1.124823496,-0.495334115,-0.205678151,1.25154522,1.312292946,-0.606508976,-0.464084982,-0.514749828,-1.599126523
,9,105,-0.156883209,Marcus T Thornton1,,NOR,G,73,25.60273973,14.47945205,1.602739726,2.890410959,1.547945205,0.794520548,0.150684932,0.451247166,12.08219178,0.813559322,2.424657534,1.04109589,-0.01968813,0.955061452,-1.123509841,-0.673811176,-0.473801033,-0.951544914,-0.485072362,0.274314117,1.086103011
,10,117,-0.182974386,Brandon Jennings,,MIL,G,82,32.57317073,15.46341463,1.768292683,3.414634146,5.731707317,1.317073171,0.207317073,0.37037037,14.81707317,0.816849817,3.329268293,2.426829268,0.179299268,1.172807552,-0.921970367,1.255920154,0.823626224,-0.852122946,-2.901903733,0.411009059,-0.813434682
,12,143,-0.257685871,Darren Collison,,NOR,G,76,27.67105263,12.44736842,0.605263158,2.526315789,5.684210526,1.039473684,0.052631579,0.476552598,10.38157895,0.850574713,2.289473684,2.644736842,-0.430637738,-0.35688511,-1.263487528,1.234012588,0.134384366,-1.12368492,0.088190348,0.511073514,-1.112138355
,13,146,-0.268672602,Jonas Jerebko,,DET,F,80,27.9,9.2625,0.45,5.9625,0.725,0.9875,0.3625,0.48092869,7.5375,0.710227273,2.2,1.0375,-1.074715769,-0.561097392,0.05756575,-1.053388959,0.005340761,-0.579687692,0.125260394,-0.428362701,1.091032191
,13,150,-0.276615433,Taj Gibson,,CHI,G,82,26.87804878,8.975609756,0,7.463414634,0.865853659,0.597560976,1.243902439,0.49522293,7.658536585,0.647727273,2.146341463,1.37804878,-1.132733772,-1.152966887,0.634597735,-0.988421184,-0.962824925,0.967680323,0.338336605,-0.817421011,0.624214219
,13,156,-0.305154872,James Harden,,OKC,G,76,22.86842105,9.907894737,1.223684211,3.210526316,1.815789474,1.052631579,0.263157895,0.403114187,7.605263158,0.808333333,3.157894737,1.407894737,-0.944197168,0.456502793,-1.000440351,-0.55026986,0.167053634,-0.7540902,-1.013795867,0.309541235,0.583301934
,15,176,-0.371397332,Toney Douglas,,NYK,G,56,19.46428571,8.589285714,1.214285714,1.928571429,2,0.75,0.053571429,0.457800512,6.982142857,0.808823529,1.214285714,0.982142857,-1.210860336,0.444141275,-1.49329248,-0.46530403,-0.584339512,-1.122034944,-0.195735722,0.117935025,1.166914739
,16,191,-0.401040636,Jrue Holiday,,PHI,G,73,24.2739726,8.04109589,0.849315068,2.602739726,3.835616438,1.082191781,0.246575342,0.444015444,7.095890411,0.755813953,1.178082192,2.123287671,-1.321721124,-0.035892041,-1.234106073,0.381361354,0.240447604,-0.783202113,-0.387257236,-0.071650618,-0.397345473
,17,197,-0.413794,Chase Budinger,,HOU,F,74,20.17567568,8.878378378,1.243243243,2.972972973,1.189189189,0.459459459,0.148648649,0.440707965,7.635135135,0.770114943,1.175675676,0.648648649,-1.152396937,0.482228115,-1.091768581,-0.839284907,-1.305712251,-0.955119761,-0.464698523,-0.021455593,1.624062434
,17,202,-0.420169254,Ty Lawson,,DEN,G,65,20.27692308,8.338461538,0.523076923,1.907692308,3.138461538,0.738461538,0.030769231,0.515384615,6,0.757142857,2.153846154,1.261538462,-1.261584674,-0.464981833,-1.501319533,0.059803479,-0.612987947,-1.16206591,0.496310231,-0.118621514,0.78392441
,18,206,-0.431972954,Omri Casspi,Questionable - ankle,SAC,F,77,25.11688312,10.28571429,0.974025974,4.519480519,1.25974026,0.714285714,0.233766234,0.44709389,8.714285714,0.672413793,2.25974026,1.285714286,-0.867790473,0.128135916,-0.497208237,-0.806743714,-0.673013238,-0.805689463,-0.421958102,-0.694273914,0.750784637
