Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,4,38,0.14285381,Kyrie Irving,Out for season - knee surgery (0g),CLE,G,51,30.54607843,18.50980392,1.431372549,3.745098039,5.392156863,1.058823529,0.392156863,0.46854083,14.64705882,0.87244898,3.843137255,3.137254902,1.049365387,0.718300812,-0.588193193,1.08387273,0.101311889,-0.456777006,0.160457372,0.937304632,-1.719958334
,7,78,-0.05205974,Kawhi Leonard,Injured - quadriceps tendinopathy (0g),SAS,F,64,23.97473958,7.921875,0.640625,5.109375,1.09375,1.328125,0.359375,0.492574257,6.3125,0.772727273,1.375,0.6875,-1.276937052,-0.335241314,-0.081979263,-0.925076486,0.754766058,-0.513615063,0.36685649,-0.031285981,1.573974956
,8,88,-0.081905418,Kenneth Faried,,DEN,F,46,22.54927536,10.23913043,0,7.652173913,0.782608696,0.739130435,1.02173913,0.585760518,6.717391304,0.664634146,3.565217391,1.173913043,-0.767806606,-1.188769631,0.861524342,-1.0704948,-0.674416462,0.634809316,1.601241616,-1.053181936,0.919945397
,10,116,-0.162097028,Isaiah Thomas,Out for season - hip surgery (0g),SAC,G,65,25.46948718,11.52307692,1.276923077,2.584615385,4.092307692,0.815384615,0.123076923,0.449122807,8.769230769,0.832432432,2.846153846,1.630769231,-0.485707258,0.512522084,-1.0187894,0.476361376,-0.489387349,-0.923314894,-0.230537305,0.394321596,0.305657902
,11,121,-0.178853366,Chandler Parsons,Out for season - knee sorenes (0g),HOU,F,63,28.64100529,9.507936508,0.952380952,4.746031746,2.126984127,1.158730159,0.476190476,0.451730419,8.714285714,0.551282051,1.238095238,1.26984127,-0.928459197,0.08012264,-0.216797501,-0.442173179,0.343733155,-0.311077313,-0.185074927,-0.740914553,0.790960584
,11,124,-0.197408028,Klay Thompson,,GSW,G,66,24.35934343,12.51515152,1.681818182,2.439393939,2,0.742424242,0.303030303,0.442896936,10.87878788,0.868131868,1.378787879,1.560606061,-0.267735872,1.051978766,-1.072673707,-0.501521833,-0.66642411,-0.611306983,-0.418805395,0.309817784,0.399999095
,12,141,-0.243829484,Iman Shumpert,Injured - left plantar fasciitis (0g),NYK,G,59,28.90564972,9.542372881,0.813559322,3.152542373,2.796610169,1.711864407,0.13559322,0.401500938,9.033898305,0.798165138,1.847457627,1.881355932,-0.920893089,-0.104834538,-0.808060523,-0.129209619,1.685901395,-0.901613808,-1.070220952,0.085746025,-0.031280246
,15,173,-0.339642321,Kemba Walker,,CHA,G,66,27.15227273,12.10606061,1.045454545,3.545454545,4.393939394,0.909090909,0.318181818,0.366362451,11.62121212,0.788732394,3.227272727,1.803030303,-0.35761834,0.204128021,-0.66227076,0.617335181,-0.262011063,-0.585036887,-2.169016056,0.083672847,0.074036167
,16,192,-0.378021298,MarShon Brooks,,BKN,G,56,29.42916667,12.64285714,0.839285714,3.571428571,2.339285714,0.928571429,0.267857143,0.428125,11.42857143,0.763513514,2.642857143,2.107142857,-0.239677324,-0.070558317,-0.652633117,-0.342949648,-0.214742005,-0.672291135,-0.767026857,-0.107440596,-0.334872686
,17,194,-0.381875671,Brandon Knight,Out for season - torn acl (0g),DET,G,66,32.24974747,12.83333333,1.590909091,3.196969697,3.803030303,0.742424242,0.151515152,0.414824447,11.65151515,0.759124088,2.075757576,2.590909091,-0.197827286,0.930857231,-0.791575798,0.341161614,-0.66642411,-0.874007944,-1.08201858,-0.111702815,-0.985343351
,17,201,-0.39830856,Chris Singleton,,WAS,F,66,21.6780303,4.636363636,0.666666667,3.53030303,0.742424242,1.060606061,0.454545455,0.371794872,4.727272727,0.681818182,0.666666667,0.575757576,-1.998805621,-0.300545041,-0.667892718,-1.089275834,0.105637162,-0.348606022,-0.828315786,-0.181196669,1.724223493
,18,212,-0.425498494,Markieff Morris,,PHO,F,62,19.68575269,7.5,0.693548387,4.467741935,1.048387097,0.661290323,0.677419355,0.398617512,7,0.730769231,1.677419355,1.129032258,-1.369628347,-0.264729533,-0.320056724,-0.946277776,-0.863293804,0.037818618,-0.866696556,-0.21691429,0.98029197
