Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,5,51,0.069646644,Brook Lopez,,BKN,C,82,30.53658537,13.02439024,0,8.109756098,1.048780488,0.536585366,1.853658537,0.530805687,10.29268293,0.792626728,2.646341463,1.792682927,-0.389506954,-1.216454329,0.952689618,-0.99494643,-1.166878071,2.031814767,1.23733016,0.015003488,0.157767549
,7,73,-0.044538826,Eric Gordon,,LAC,G,78,34.19230769,16.07692308,1.679487179,2.576923077,2.756410256,1,0.448717949,0.4572697,11.55128205,0.854285714,4.487179487,2.102564103,0.223669737,0.930884387,-1.247964044,-0.18687823,-0.001985382,-0.349691086,-0.27190867,0.813563361,-0.310539502
,7,75,-0.052433991,Mario Chalmers,,MIA,G,82,31.91463415,9.975609756,1.390243902,2.780487805,4.914634146,1.93902439,0.097560976,0.419939577,8.073170732,0.766839378,2.353658537,2.012195122,-1.001929894,0.561067163,-1.166997302,0.834415803,2.358455065,-0.944935038,-0.778578136,-0.159433947,-0.173969636
,8,95,-0.107909229,O.J. Mayo,,MEM,G,82,37.81707317,18.48780488,1.768292683,3.756097561,3.207317073,1.109756098,0.146341463,0.438377535,15.63414634,0.879003559,3.426829268,2.756097561,0.707954953,1.04442827,-0.77895393,0.026495574,0.273910254,-0.862247543,-0.945959922,0.861379376,-1.298190096
,11,122,-0.182058642,Rudy Fernandez,,POR,G,78,25.58974359,10.44871795,2.038461538,2.679487179,2.025641026,0.884615385,0.153846154,0.425396825,8.076923077,0.839160839,1.833333333,1.102564103,-0.906894416,1.389857548,-1.207169741,-0.532685844,-0.292029513,-0.84952639,-0.692785335,0.251998244,1.200707674
,11,125,-0.189365099,Derrick Rose,,CHI,G,81,36.74074074,16.80246914,0.197530864,3.913580247,6.320987654,0.839506173,0.222222222,0.475165563,14.91358025,0.788,3.086419753,2.49382716,0.369413601,-0.963897669,-0.716316065,1.499916938,-0.405421252,-0.733622552,0.170106992,-0.022631191,-0.901834694
,13,145,-0.270675252,Anthony Morrow,,GSW,G,67,22.46268657,10.05970149,1.28358209,2.970149254,1.194029851,0.537313433,0.179104478,0.476547842,7.955223881,0.869565217,1.373134328,0.776119403,-0.985037989,0.424692772,-1.091560512,-0.926212918,-1.165047917,-0.806711166,0.113051086,0.30670307,1.694046304
,13,149,-0.278599751,D.J. White,,OKC,F,7,18.28571429,8.857142857,0,4.571428571,0.857142857,0.428571429,0.714285714,0.52,7.142857143,0.769230769,1.857142857,0.428571429,-1.226601624,-1.216454329,-0.45466054,-1.085631354,-1.438394412,0.100471144,0.708347531,-0.113751374,2.219277199
,14,158,-0.292169862,Kevin Love,,MIN,F,81,25.19753086,11.09876543,0.024691358,9.049382716,1.037037037,0.432098765,0.62962963,0.459302326,8.49382716,0.788690476,4.148148148,1.456790123,-0.776316307,-1.184884747,1.326420897,-1.000503553,-1.429527689,-0.043028847,-0.16572789,-0.02134522,0.6653846
,14,166,-0.309614202,D.J. Augustin,,CHA,G,72,26.45833333,11.80555556,1.5,1.847222222,3.472222222,0.583333333,0.027777778,0.429951691,8.625,0.892703863,3.236111111,1.652777778,-0.634340036,0.701397807,-1.538198514,0.151851451,-1.049366966,-1.063224092,-0.663126015,0.939279736,0.369198811
,15,170,-0.320706495,Courtney Lee,Questionable - left ankle,ORL,G,77,24.96103896,8.38961039,1.064935065,2.311688312,1.194805195,0.987012987,0.194805195,0.45,7.012987013,0.829787234,1.220779221,0.896103896,-1.320517079,0.145137664,-1.353459702,-0.925846017,-0.034631042,-0.78009698,-0.264042481,0.134377104,1.512720078
,15,177,-0.344414774,Michael Beasley,,MIA,F,81,24.72839506,13.86419753,0.407407407,5.419753086,1.024691358,0.50617284,0.456790123,0.4723093,11.81481481,0.771784232,2.975308642,1.49382716,-0.220810897,-0.695556218,-0.117244167,-1.006345657,-1.243326519,-0.336007994,0.0691653,-0.159019297,0.609412482
,16,182,-0.35474805,Luc Mbah a Moute,,MIL,F,82,25.79268293,7.243902439,0,5.93902439,1.06097561,1.048780488,0.548780488,0.462321792,5.987804878,0.729166667,2.341463415,1.219512195,-1.550660848,-1.216454329,0.089293115,-0.989175571,0.120634901,-0.180075713,-0.080974231,-0.40928997,1.023970199
,16,187,-0.368966526,Anthony Randolph,,GSW,F,63,17.80952381,7.920634921,0,5.761904762,0.777777778,0.666666667,1.174603175,0.461716937,6.841269841,0.716312057,2.238095238,1.26984127,-1.414722397,-1.216454329,0.018844765,-1.123187736,-0.839890649,0.880752343,-0.100854075,-0.473097184,0.947910527
,16,190,-0.389338437,Russell Westbrook,,OKC,G,82,32.43902439,15.34146341,0.426829268,4.853658537,5.292682927,1.341463415,0.195121951,0.398722628,13.36585366,0.815420561,5.219512195,3.341463415,0.07593448,-0.670724046,-0.342405136,1.013312426,0.856356599,-0.779560049,-1.844453307,0.370315695,-2.182822589
,16,192,-0.395477536,Ryan Anderson,,BKN,F,66,19.87878788,7.378787879,1.045454545,4.712121212,0.803030303,0.666666667,0.303030303,0.39408867,6.151515152,0.844827586,1.757575758,0.954545455,-1.523565772,0.120230493,-0.398700823,-1.111237978,-0.839890649,-0.596645288,-0.903664419,0.269776175,1.424400437
,17,195,-0.401050199,Jason Thompson,,SAC,F,82,28.04878049,11.09756098,0,7.390243902,1.134146341,0.56097561,0.719512195,0.49651325,8.743902439,0.692307692,3.487804878,1.780487805,-0.776558252,-1.216454329,0.666507631,-0.954550418,-1.105567929,0.109330518,0.465314658,-0.973671059,0.176197393
,17,197,-0.409968574,Greg Oden,,POR,C,61,21.50819672,8.852459016,0,6.950819672,0.508196721,0.409836066,1.147540984,0.564102564,5.754098361,0.637168142,3.704918033,1.426229508,-1.227542489,-1.216454329,0.49172908,-1.250756301,-1.48548979,0.834879395,1.066993311,-1.614645282,0.711569243
,17,202,-0.423784381,Nicolas Batum,,POR,G,79,18.40506329,5.392405063,0.784810127,2.784810127,0.936708861,0.632911392,0.493670886,0.44598338,4.569620253,0.807692308,0.658227848,0.632911392,-1.922579872,-0.213021144,-1.165278123,-1.047979892,-0.924741816,-0.273491648,-0.207313209,0.029877267,1.910469006
,18,206,-0.445646642,Marreese Speights,Probable,PHI,F,79,15.96202532,7.696202532,0.025316456,3.708860759,0.379746835,0.341772152,0.708860759,0.501992032,6.35443038,0.772727273,1.670886076,0.582278481,-1.459805191,-1.184085517,-0.797742106,-1.311540125,-1.656583125,0.091275337,0.406685571,-0.086012471,1.98698785
,18,207,-0.450534815,Danilo Gallinari,Out for season - hand (0g),NYK,F,28,14.71428571,6.071428571,1.142857143,1.964285714,0.535714286,0.5,0.142857143,0.448,4.464285714,0.962962963,0.964285714,0.535714286,-1.786181212,0.244766346,-1.491637159,-1.237734703,-1.258843283,-0.868153793,-0.184896944,0.470509554,2.057357859
,19,217,-0.470649705,Darrell Arthur,,MEM,F,76,19.26315789,5.552631579,0,4.552631579,0.565789474,0.684210526,0.684210526,0.438073394,5.736842105,0.666666667,0.789473684,0.618421053,-1.890394415,-1.216454329,-0.46213694,-1.22350281,-0.795790372,0.049490884,-0.349413163,-0.280013694,1.932367491
,19,227,-0.494309731,Kyle Weaver,,OKC,G,56,20.83928571,5.339285714,0.571428571,2.321428571,1.803571429,0.857142857,0.446428571,0.459349593,4.392857143,0.706896552,1.035714286,1.232142857,-1.933250207,-0.485843992,-1.349585568,-0.637771492,-0.36108764,-0.353571795,-0.084458534,-0.248100499,1.004882147
,20,229,-0.496286491,Brandon Rush,,IND,F,75,24.01333333,8.133333333,1.04,3.106666667,0.88,0.506666667,0.493333333,0.422608696,7.666666667,0.696969697,0.88,1,-1.371996662,0.113256485,-1.037261468,-1.074815115,-1.242085178,-0.274063832,-0.699288506,-0.236031529,1.355707384
,20,238,-0.523718762,JaVale McGee,,WAS,C,75,15.24,6.52,0,3.92,0.306666667,0.44,1,0.493540052,5.16,0.660493827,2.16,0.813333333,-1.69607455,-1.216454329,-0.713762644,-1.346122423,-1.409666231,0.584783612,0.245325946,-0.799305094,1.637806857
,21,245,-0.554087193,Roy Hibbert,,IND,C,70,14.41428571,7.057142857,0,3.471428571,0.7,0.271428571,1.085714286,0.470308789,6.014285714,0.666666667,2.1,0.771428571,-1.588176127,-1.216454329,-0.892179443,-1.159992991,-1.833406895,0.730077353,0.012552392,-0.74034001,1.70113531
,22,260,-0.598539789,Kosta Koufos,,UTA,C,46,12.10869565,4.869565217,0,3,0.434782609,0.260869565,0.673913043,0.508108108,4.02173913,0.705882353,1.108695652,0.565217391,-2.027605182,-1.216454329,-1.079687543,-1.285496624,-1.859949235,0.032035686,0.306115095,-0.268587339,2.012771374
,23,268,-0.632033339,George Hill,,SAS,G,76,16.75,5.763157895,0.315789474,2.078947368,1.789473684,0.592105263,0.289473684,0.403225806,4.894736842,0.780821918,1.921052632,0.973684211,-1.848104999,-0.812695985,-1.446031122,-0.644442691,-1.027316828,-0.619625026,-0.631265439,-0.054295009,1.395477047
,24,283,-0.657503586,Dontell Jefferson,,CHA,G,6,13.83333333,4.833333333,0.166666667,2,1.5,0.666666667,0.166666667,0.5,3.666666667,0.666666667,1.5,1,-2.034883252,-1.003359647,-1.477432,-0.781424655,-0.839890649,-0.82779442,0.221133171,-0.529588203,1.355707384
,24,288,-0.66374543,Joe Crawford,,NYK,G,2,11.5,4.5,0.5,2,0.5,0.5,0,0.3,5,1,1,0,-2.101841493,-0.577170284,-1.477432,-1.254635075,-1.258843283,-1.110310027,-1.653717151,0.593285887,2.86695456
