Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,8,85,-0.080233592,Landry Fields,,NYK,F,82,30.97560976,9.719512195,1.048780488,6.317073171,1.890243902,0.975609756,0.207317073,0.496677741,7.341463415,0.768707483,1.792682927,1.304878049,-0.949747326,0.250961102,0.286887493,-0.536413647,-0.009196134,-0.81840871,0.414290639,-0.077455127,0.716979385
,9,100,-0.123241112,John Wall,,WAS,G,69,37.71014493,16.39130435,0.492753623,4.594202899,8.31884058,1.753623188,0.507246377,0.409465021,14.08695652,0.765903308,5.695652174,3.782608696,0.438949158,-0.50577677,-0.373927045,2.232501334,1.920663594,-0.296100449,-1.645360422,-0.293421139,-2.586698267
,9,103,-0.125440309,Greg Monroe,,DET,C,80,27.7875,9.3625,0,7.5125,1.325,1.15,0.5625,0.550091075,6.8625,0.622317597,2.9125,1.0125,-1.024057431,-1.176401432,0.745398758,-0.779874605,0.423378285,-0.199879695,1.11134387,-1.335691652,1.106821124
,12,134,-0.219595479,Ed Davis,,TOR,F,65,24.66153846,7.707692308,0,7.092307692,0.615384615,0.6,1.015384615,0.576407507,5.738461538,0.5546875,1.969230769,0.738461538,-1.368496462,-1.176401432,0.584232134,-1.08551902,-0.940894884,0.588790746,1.230250666,-1.280530867,1.472209809
,14,167,-0.331426116,Paul George,Injured - knee (0g),IND,F,61,20.60655738,7.770491803,0.672131148,3.62295082,1.06557377,1.016393443,0.426229508,0.453164557,6.475409836,0.757575758,1.62295082,1.147540984,-1.355425096,-0.261648698,-0.746455089,-0.89161426,0.091967664,-0.437186296,-0.187963963,-0.121273785,0.926764475
,15,179,-0.361973672,Wesley Johnson,,MIN,F,79,26.17721519,8.974683544,1.303797468,3.037974684,1.886075949,0.734177215,0.683544304,0.397360704,8.632911392,0.695652174,1.164556962,1.202531646,-1.104779273,0.598032475,-0.970825282,-0.538208861,-0.608068748,0.010911445,-1.206977915,-0.291289668,0.853442775
,17,200,-0.406126984,Patrick Patterson,,HOU,F,52,16.73076923,6.307692308,0,3.846153846,0.769230769,0.326923077,0.711538462,0.558052434,5.134615385,0.714285714,0.807692308,0.596153846,-1.659898687,-1.176401432,-0.660844578,-1.019254648,-1.618261283,0.059661533,0.916955689,-0.159054961,1.661955512
,18,214,-0.449896359,DeMarcus Cousins,Out for season - torn achilles tendon (0g),SAC,C,81,28.51851852,14.13580247,0.037037037,8.62962963,2.530864198,1.049382716,0.839506173,0.430417495,12.41975309,0.686567164,4.962962963,3.308641975,-0.030521032,-1.125995003,1.173878785,-0.260486688,0.173797447,0.282509357,-0.935203053,-1.372311444,-1.954735603
,19,217,-0.465719093,Trevor Booker,,WAS,F,62,17.17741935,5.580645161,0,4.048387097,0.564516129,0.467741935,0.677419355,0.549407115,4.080645161,0.666666667,1.64516129,0.612903226,-1.811229513,-1.176401432,-0.583277117,-1.107429014,-1.268960573,0.000245227,0.663095639,-0.547137808,1.639622757
,20,238,-0.512245664,Evan Turner,,PHI,G,78,23.07692308,7.243589744,0.179487179,3.923076923,2.038461538,0.628205128,0.179487179,0.425330813,6.782051282,0.808,1.602564103,1.025641026,-1.465096833,-0.932124123,-0.631340391,-0.472573581,-0.870932157,-0.866872742,-0.57002488,0.109454167,1.089299562
,21,241,-0.516084395,Ekpe Udoh,,GSW,C,58,17.77586207,4.068965517,0,3.120689655,0.706896552,0.379310345,1.482758621,0.436936937,3.827586207,0.65625,1.103448276,0.827586207,-2.125877235,-1.176401432,-0.939099588,-1.046103144,-1.488314839,1.402693559,-0.225761174,-0.399271299,1.353375594
